     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
   8566418,      1068,   7065107,       0,estimated,anon25,"{""c"":""2022 Singh et al"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":81,""r"":3,""state"":""T""}",
  22725833,      1009,  21063614,       0,estimated,anon26,"{""c"":""2022 Singh et al"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":121,""r"":3,""state"":""T""}",
 227272727,        10,         0,       0,estimated,anon27,"{""c"":""2020 Litinski"",""lbl"":""T15\u2087,\u2083,\u2083"",""noise"":""uniform"",""p"":0.0001,""q"":810,""r"":18.1,""state"":""T""}",
10752688172,        10,         0,       0,estimated,anon28,"{""c"":""2020 Litinski"",""lbl"":""T15\u2089,\u2083,\u2083"",""noise"":""uniform"",""p"":0.0001,""q"":1150,""r"":18.1,""state"":""T""}",
526315789474,        10,         0,       0,estimated,anon29,"{""c"":""2020 Litinski"",""lbl"":""T15\u2081\u2081,\u2085,\u2085"",""noise"":""uniform"",""p"":0.0001,""q"":2070,""r"":30.0,""state"":""T""}",
4166666666666667,        10,         0,       0,estimated,anon30,"{""c"":""2020 Litinski"",""lbl"":""T15\u2089,\u2083,\u2083\u00d7T20\u2081\u2085,\u2087,\u2089"",""noise"":""uniform"",""p"":0.0001,""q"":16400,""r"":90.3,""state"":""T""}",
15873015873015874897051648,        10,         0,       0,estimated,anon31,"{""c"":""2020 Litinski"",""lbl"":""T15\u2089,\u2083,\u2083\u00d7T15\u2082\u2085,\u2089,\u2089"",""noise"":""uniform"",""p"":0.0001,""q"":18600,""r"":67.8,""state"":""T""}",
 222222222,        10,         0,       0,estimated,anon32,"{""c"":""2020 Litinski"",""lbl"":""T15\u2081\u2087,\u2087,\u2087"",""noise"":""uniform"",""p"":0.001,""q"":4620,""r"":42.6,""state"":""T""}",
71428571429,        10,         0,       0,estimated,anon33,"{""c"":""2020 Litinski"",""lbl"":""T15\u2081\u2083,\u2085,\u2085\u00d7T20\u2082\u2083,\u2081\u2081,\u2081\u2083"",""noise"":""uniform"",""p"":0.001,""q"":43300,""r"":130.0,""state"":""T""}",
384615384615,        10,         0,       0,estimated,anon34,"{""c"":""2020 Litinski"",""lbl"":""T15\u2081\u2083,\u2085,\u2085\u00d7T20\u2082\u2087,\u2081\u2083,\u2081\u2085"",""noise"":""uniform"",""p"":0.001,""q"":46800,""r"":157.0,""state"":""T""}",
